mission,year,country,location,latitude,longitude,Infantry,NoTroops,Reserve,hq,UNPOL,Med,Av,UNMO,ave.no.troops
MINURSO,1998,Western Sahara,Ad Dakhla,23.660915,-15.953219,0,0,0,2,0,0,0,0,0
MINURSO,1998,Western Sahara,Smara,26.73841,-11.67194,0,0,0,2,0,0,0,0,0
MINURSO,1998,Mauritania,Zouerate,22.731652,-12.474106,0,0,0,0,0,0,0,0,0
MINURSO,1999,Algeria,Tindouf,27.67111,-8.14743,0,0,0,0,0,0,0,0,0
MINURSO,1999,Western Sahara,Agwanit,22.1934,-13.140930000000001,0,0,0,0,0,0,0,0,0
MINURSO,1999,Western Sahara,Awsard,22.551639,-14.331643,0,0,0,0,0,0,0,0,0
MINURSO,1999,Western Sahara,Bir Lahlou,26.3268627,-9.5494739,0,0,0,0,0,0,0,0,0
MINURSO,1999,Western Sahara,Laayoune,27.135,-13.1625,0,NA,0,3,0,1,0,0,NA
MINURSO,1999,Western Sahara,Mahbas,27.424267,-9.06598,0,0,0,0,0,0,0,0,0
MINURSO,1999,Western Sahara,Mehaires,26.1472,-11.0692,0,0,0,0,0,0,0,0,0
MINURSO,1999,Western Sahara,Mijek,23.4735871,-12.7597541,0,0,0,0,0,0,0,0,0
MINURSO,1999,Western Sahara,Oum Dreyga,24.166667,-13.25,0,0,0,0,0,0,0,0,0
MINURSO,1999,Western Sahara,Tifariti,26.092778,-10.608889,0,0,0,0,0,0,0,0,0
MINURSO,1999,Western Sahara,Ad Dakhla,23.660915,-15.953219,0,0,0,2,0,0,0,0,0
MINURSO,1999,Western Sahara,Smara,26.73841,-11.67194,0,0,0,2,0,0,0,0,0
MINURSO,2000,Algeria,Tindouf,27.67111,-8.14743,0,0,0,0,0,0,0,0,0
MINURSO,2000,Western Sahara,Agwanit,22.1934,-13.140930000000001,0,0,0,0,0,0,0,0,0
MINURSO,2000,Western Sahara,Awsard,22.551639,-14.331643,0,0,0,0,0,0,0,0,0
MINURSO,2000,Western Sahara,Bir Lahlou,26.3268627,-9.5494739,0,0,0,0,0,0,0,0,0
MINURSO,2000,Western Sahara,Laayoune,27.135,-13.1625,0,NA,0,3,0,1,0,0,NA
MINURSO,2000,Western Sahara,Mahbas,27.424267,-9.06598,0,0,0,0,0,0,0,0,0
MINURSO,2000,Western Sahara,Mehaires,26.1472,-11.0692,0,0,0,0,0,0,0,0,0
MINURSO,2000,Western Sahara,Mijek,23.4735871,-12.7597541,0,0,0,0,0,0,0,0,0
MINURSO,2000,Western Sahara,Oum Dreyga,24.166667,-13.25,0,0,0,0,0,0,0,0,0
MINURSO,2000,Western Sahara,Tifariti,26.092778,-10.608889,0,0,0,0,0,0,0,0,0
MINURSO,2000,Western Sahara,Ad Dakhla,23.660915,-15.953219,0,0,0,2,0,0,0,0,0
MINURSO,2000,Western Sahara,Smara,26.73841,-11.67194,0,0,0,2,0,0,0,0,0
MINURSO,2001,Algeria,Tindouf,27.67111,-8.14743,0,0,0,0,0,0,0,0,0
MINURSO,2001,Western Sahara,Agwanit,22.1934,-13.140930000000001,0,0,0,0,0,0,0,0,0
MINURSO,2001,Western Sahara,Awsard,22.551639,-14.331643,0,0,0,0,0,0,0,0,0
MINURSO,2001,Western Sahara,Bir Lahlou,26.3268627,-9.5494739,0,0,0,0,0,0,0,0,0
MINURSO,2001,Western Sahara,Laayoune,27.135,-13.1625,0,NA,0,3,0,1,0,0,NA
MINURSO,2001,Western Sahara,Mahbas,27.424267,-9.06598,0,0,0,0,0,0,0,0,0
MINURSO,2001,Western Sahara,Mehaires,26.1472,-11.0692,0,0,0,0,0,0,0,0,0
MINURSO,2001,Western Sahara,Mijek,23.4735871,-12.7597541,0,0,0,0,0,0,0,0,0
MINURSO,2001,Western Sahara,Oum Dreyga,24.166667,-13.25,0,0,0,0,0,0,0,0,0
MINURSO,2001,Western Sahara,Tifariti,26.092778,-10.608889,0,0,0,0,0,0,0,0,0
MINURSO,2001,Western Sahara,Ad Dakhla,23.660915,-15.953219,0,0,0,2,0,0,0,0,0
MINURSO,2001,Western Sahara,Smara,26.73841,-11.67194,0,0,0,2,0,0,0,0,0
MINURSO,2002,Algeria,Tindouf,27.67111,-8.14743,0,0,0,0,0,0,0,0,0
MINURSO,2002,Western Sahara,Agwanit,22.1934,-13.140930000000001,0,0,0,0,0,0,0,0,0
MINURSO,2002,Western Sahara,Awsard,22.551639,-14.331643,0,0,0,0,0,0,0,0,0
